GSM,410,3,52203,32307,0,71.5061,33.5514,1000,8,1,1387347609,1763025241,0
GSM,410,6,443,3433,0,71.4251,33.9551,1452,11,1,1399784437,1749770281,0
GSM,410,3,52204,32133,0,71.4274,33.9509,1000,10,1,1420720710,1750628043,0
GSM,410,6,280,62313,0,68.3961,28.2884,3523,6,1,1445849090,1753434062,0
LTE,410,4,32,11011,0,67.1172,24.9297,1000,3,1,1446762871,1748984582,0
LTE,410,4,5033,12809987,0,73.1228,33.6893,1485,7,1,1455340923,1761209762,0
LTE,410,4,5044,804866,0,73.0654,33.6122,1000,5,1,1458601627,1758460383,0
LTE,410,4,5044,2423811,0,73.0655,33.6082,2010,7,1,1458601627,1758460383,0
LTE,410,4,33,472833,0,67.1511,24.9589,1717,3,1,1450002352,1749568624,0
LTE,410,4,33,473089,0,67.1485,24.9452,2455,2,1,1450002352,1748984583,0
LTE,410,4,5031,2057729,0,72.9475,33.633,902,36,1,1458601625,1780223586,0
LTE,410,4,5044,2426625,0,73.0647,33.6166,1924,23,1,1458601627,1758460383,0
LTE,410,4,33,562691,0,67.1448,24.9579,1623,11,1,1450002352,1749568624,0
LTE,410,4,5044,2084098,0,73.0678,33.6234,1000,5,1,1458601627,1758460382,0
LTE,410,4,5044,2558209,0,73.0799,33.6245,1000,5,1,1458601627,1758460382,0
LTE,410,4,5044,2115587,0,73.0648,33.6022,1000,5,1,1452628729,1758460383,0
UMTS,410,3,31003,229049,341,66.9429,24.8455,4032,6,1,1458655408,1764488056,0
UMTS,410,3,31003,228983,101,66.9186,24.8528,6408,6,1,1437748083,1764488056,0
UMTS,410,3,31008,940491,57,68.3533,25.3786,1000,3,1,1458655423,1744823222,0
UMTS,410,6,2001,8467427,287,67.1278,24.9338,4209,28,1,1457144874,1749568625,0
UMTS,410,6,2004,8465465,49,67.1131,24.9896,3221,3,1,1458880193,1749448323,0
UMTS,410,6,2006,8465186,38,67.0885,24.9841,4870,8,1,1456263126,1749448324,0
UMTS,410,6,2006,8465296,275,67.1022,24.9822,3535,4,1,1457144907,1749448324,0
UMTS,410,6,2030,8467427,287,67.1312,24.9394,3105,13,1,1452784677,1749568624,0
GSM,410,3,51116,11670,0,69.8124,28.1872,2871,4,1,1458904363,1749106441,0
GSM,410,3,51116,21671,0,69.7942,28.1778,2145,4,1,1458904363,1749106441,0
GSM,410,3,51118,35420,0,69.8994,28.1522,10366,18,1,1458904365,1749106441,0
GSM,410,3,52204,32116,0,71.4292,33.9521,1000,4,1,1450337440,1750628043,0
GSM,410,3,52204,22184,0,71.425,33.981,3360,3,1,1458904374,1750628041,0
GSM,410,3,52204,38520,0,71.428,33.9512,1000,11,1,1450337440,1750628043,0
GSM,410,3,52204,24085,0,71.4309,33.9533,1000,2,1,1445934623,1750627983,0
GSM,410,3,52204,28520,0,71.4286,33.9516,1000,6,1,1450337440,1750628041,0
GSM,410,3,54421,35057,0,71.7551,30.4816,14165,32,1,1458904416,1782311944,0
GSM,410,3,54421,16997,0,71.741,30.4295,12757,24,1,1458904416,1782311882,0
GSM,410,3,54421,15067,0,71.7666,30.4799,9673,50,1,1451809640,1782311882,0
GSM,410,3,54421,14459,0,71.6853,30.4259,13736,50,1,1458904416,1782238502,0
GSM,410,3,54421,14443,0,71.7497,30.4633,6623,50,1,1421670032,1781930055,0
GSM,410,3,54421,34431,0,71.7364,30.4284,10695,41,1,1458904416,1782311882,0
GSM,410,3,54421,15312,0,71.7181,30.472,3287,50,1,1421847945,1782238503,0
GSM,410,3,54421,12274,0,71.7585,30.4805,14134,26,1,1458904416,1781930055,0
GSM,410,3,54421,14431,0,71.7311,30.4935,7219,45,1,1458904416,1781703421,0
GSM,410,3,54421,34442,0,71.7442,30.4462,8362,29,1,1458904416,1782311943,0
GSM,410,3,59905,19148,0,67.0843,24.9428,2209,7,1,1458904452,1765819021,0
GSM,410,3,59906,39303,0,67.0607,24.8857,1000,3,1,1458904455,1772319361,0
GSM,410,6,230,13891,0,67.1347,24.97,1000,2,1,1442902812,1745061004,0
GSM,410,6,280,40552,0,68.4125,28.3137,7213,2,1,1425631074,1753434061,0
GSM,410,6,266,15552,0,67.0561,24.8836,1000,3,1,1448202471,1778463961,0
GSM,410,6,280,64941,0,68.347,28.3744,1000,2,1,1427793392,1752493443,0
GSM,410,6,280,58852,0,68.4145,28.332,8178,2,1,1425611264,1752493443,0
